"tx_acc1","tx_form","tx_courses","heurstag","tx_tpf","secteur_ensemble","secteur","taille","NAME_FREN","iso3_code"
44,93.2,78.6,10,1.6,0,"Agriculture, sylviculture et pêche","50 à 249","Autriche","AUT"
29.9,93,84,14,2.1,0,"Enseignement","50 à 249","Autriche","AUT"
43.3,96.8,92.8,26,2.9,0,"Administration publique et santé","50 à 249","Autriche","AUT"
53,98.2,96.3,20,2.9,1,"Ensemble des secteurs","250 à 499","Autriche","AUT"
54.5,100,100,18,2,0,"Industries extractives","250 à 499","Autriche","AUT"
68.6,99,97.9,18,3,0,"Industries alimentaire","250 à 499","Autriche","AUT"
41.2,94.8,88.8,26,3,0,"Fabrication de textiles","250 à 499","Autriche","AUT"
46,100,80.5,24,2.7,0,"Industrie du papier et du carton","250 à 499","Autriche","AUT"
66.5,100,98.2,19,3,0,"Cockefaction et raffinage","250 à 499","Autriche","AUT"
56.9,100,96.6,17,2.5,0,"Métallurgie","250 à 499","Autriche","AUT"
66.2,100,100,17,2.8,0,"Fabrication de produits informatiques","250 à 499","Autriche","AUT"
50.8,86.7,86.7,13,2.3,0,"Industrie automobile","250 à 499","Autriche","AUT"
48.7,100,100,16,2.3,0,"Fabrication de meubles","250 à 499","Autriche","AUT"
56.2,100,100,24,3.2,0,"Production et distribution d'électricité","250 à 499","Autriche","AUT"
58.7,98.9,96.5,22,3.4,0,"Construction","250 à 499","Autriche","AUT"
36.5,97.2,92.2,15,2,0,"Commerce et réparation d'automobiles","250 à 499","Autriche","AUT"
58.1,100,100,19,2.4,0,"Commerce de gros","250 à 499","Autriche","AUT"
32.8,96.2,93.2,13,1.7,0,"Commerce de détail","250 à 499","Autriche","AUT"
50.3,99.3,97.9,21,3.2,0,"Transports","250 à 499","Autriche","AUT"
58.9,100,91.6,15,2.6,0,"Hébergement, Restauration","250 à 499","Autriche","AUT"
55.2,96,93.4,21,2.5,0,"Edition, Production de films cinématographiques","250 à 499","Autriche","AUT"
77,100,100,26,4.5,0,"Activités des services financiers","250 à 499","Autriche","AUT"
77.9,100,100,20,4.9,0,"Activités auxiliaires de services financiers et d'assurance","250 à 499","Autriche","AUT"
39.9,100,100,28,3.3,0,"Activités des organisations associatives","250 à 499","Autriche","AUT"
67.1,100,100,16,2.8,0,"Activités immobilières","250 à 499","Autriche","AUT"
65.2,99.1,98.5,18,3.1,0,"Activités juridiques et comptables","250 à 499","Autriche","AUT"
33.7,97.3,93.8,25,2.3,0,"Activités de location","250 à 499","Autriche","AUT"
45.4,84.7,84.7,21,2.4,0,"Activités créatives, artistiques et de spectacle","250 à 499","Autriche","AUT"
43.2,100,100,30,3.5,0,"Agriculture, sylviculture et pêche","250 à 499","Autriche","AUT"
33,95.6,93.2,24,3.2,0,"Enseignement","250 à 499","Autriche","AUT"
48,98.2,96.2,25,3.4,0,"Administration publique et santé","250 à 499","Autriche","AUT"
51.2,99.8,97.9,21,3.4,1,"Ensemble des secteurs","500 à 999","Autriche","AUT"
67.1,100,100,20,3.6,0,"Industries extractives","500 à 999","Autriche","AUT"
73.6,100,100,16,3.5,0,"Industries alimentaire","500 à 999","Autriche","AUT"
55.5,100,100,14,2.1,0,"Fabrication de textiles","500 à 999","Autriche","AUT"
55.7,100,100,19,2.9,0,"Industrie du papier et du carton","500 à 999","Autriche","AUT"
73.4,100,100,16,2.7,0,"Cockefaction et raffinage","500 à 999","Autriche","AUT"
59.6,100,100,26,3.6,0,"Métallurgie","500 à 999","Autriche","AUT"
67.9,100,100,20,3.5,0,"Fabrication de produits informatiques","500 à 999","Autriche","AUT"
62.2,100,100,21,3.6,0,"Industrie automobile","500 à 999","Autriche","AUT"
44.9,100,100,18,2.7,0,"Fabrication de meubles","500 à 999","Autriche","AUT"
66.5,100,100,16,3.5,0,"Production et distribution d'électricité","500 à 999","Autriche","AUT"
57.4,100,96.8,24,3.6,0,"Construction","500 à 999","Autriche","AUT"
40.4,100,100,18,2.6,0,"Commerce et réparation d'automobiles","500 à 999","Autriche","AUT"
55.1,100,100,17,2.5,0,"Commerce de gros","500 à 999","Autriche","AUT"
44.3,98.2,90.8,17,2.2,0,"Commerce de détail","500 à 999","Autriche","AUT"
58.7,100,100,23,3.8,0,"Transports","500 à 999","Autriche","AUT"
144.3,100,100,4,2.2,0,"Hébergement, Restauration","500 à 999","Autriche","AUT"
55.5,100,96.4,24,2.9,0,"Edition, Production de films cinématographiques","500 à 999","Autriche","AUT"
84.1,100,96.7,21,4,0,"Activités des services financiers","500 à 999","Autriche","AUT"
82.4,100,100,21,4.6,0,"Activités auxiliaires de services financiers et d'assurance","500 à 999","Autriche","AUT"
75.6,100,100,53,5.2,0,"Activités des organisations associatives","500 à 999","Autriche","AUT"
64,100,95.7,17,3.4,0,"Activités immobilières","500 à 999","Autriche","AUT"
64.1,100,100,17,3.5,0,"Activités juridiques et comptables","500 à 999","Autriche","AUT"
20.9,100,95.5,28,3.8,0,"Activités de location","500 à 999","Autriche","AUT"
49.7,100,100,19,5,0,"Activités créatives, artistiques et de spectacle","500 à 999","Autriche","AUT"
60.3,100,100,15,2.1,0,"Agriculture, sylviculture et pêche","500 à 999","Autriche","AUT"
40.4,100,94.5,30,3.1,0,"Enseignement","500 à 999","Autriche","AUT"
48.1,99.5,96.8,26,3.8,0,"Administration publique et santé","500 à 999","Autriche","AUT"
63.2,99.4,98.8,23,3.7,1,"Ensemble des secteurs","1000 et plus","Autriche","AUT"
58.9,100,100,18,2.5,0,"Industries extractives","1000 et plus","Autriche","AUT"
80.2,100,100,14,3.5,0,"Industries alimentaire","1000 et plus","Autriche","AUT"
32.9,100,100,19,3,0,"Fabrication de textiles","1000 et plus","Autriche","AUT"
62.3,100,100,15,2.4,0,"Industrie du papier et du carton","1000 et plus","Autriche","AUT"
71.1,100,100,19,3.8,0,"Cockefaction et raffinage","1000 et plus","Autriche","AUT"
72.4,100,100,19,3.5,0,"Métallurgie","1000 et plus","Autriche","AUT"
67.6,100,100,19,3.5,0,"Fabrication de produits informatiques","1000 et plus","Autriche","AUT"
77.6,100,100,17,4,0,"Industrie automobile","1000 et plus","Autriche","AUT"
54.7,100,83.3,19,2.9,0,"Fabrication de meubles","1000 et plus","Autriche","AUT"
45.9,100,100,39,7,0,"Production et distribution d'électricité","1000 et plus","Autriche","AUT"
68.2,100,100,19,4.1,0,"Construction","1000 et plus","Autriche","AUT"
47.8,88.3,88.3,19,3.6,0,"Commerce et réparation d'automobiles","1000 et plus","Autriche","AUT"
51.1,100,100,19,2.9,0,"Commerce de gros","1000 et plus","Autriche","AUT"
63.2,98.9,97.9,10,2.4,0,"Commerce de détail","1000 et plus","Autriche","AUT"
68,100,100,30,2.7,0,"Transports","1000 et plus","Autriche","AUT"
38.4,100,100,11,2,0,"Hébergement, Restauration","1000 et plus","Autriche","AUT"
75.2,100,100,33,2.9,0,"Edition, Production de films cinématographiques","1000 et plus","Autriche","AUT"
93.9,100,100,24,5,0,"Activités des services financiers","1000 et plus","Autriche","AUT"
95.9,100,100,18,4.4,0,"Activités auxiliaires de services financiers et d'assurance","1000 et plus","Autriche","AUT"
40,100,100,34,2.8,0,"Activités des organisations associatives","1000 et plus","Autriche","AUT"
66.6,100,90.3,17,2.6,0,"Activités immobilières","1000 et plus","Autriche","AUT"
73.4,96.3,96.3,22,4.4,0,"Activités juridiques et comptables","1000 et plus","Autriche","AUT"
38.2,98.8,98.8,27,3,0,"Activités de location","1000 et plus","Autriche","AUT"
76.8,100,87.5,17,2.8,0,"Activités créatives, artistiques et de spectacle","1000 et plus","Autriche","AUT"
62.8,100,100,21,4.4,0,"Enseignement","1000 et plus","Autriche","AUT"
48,99.4,98.3,29,3.7,0,"Administration publique et santé","1000 et plus","Autriche","AUT"
30.7,45,40.6,20,2.4,1,"Ensemble des secteurs","Ensemble","Belgique","BEL"
41.1,33.1,31.7,27,3,0,"Industries extractives","Ensemble","Belgique","BEL"
